,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
996,2018-11-11,Home,D,1.0,1.0,WOL,0.9,1.9,71.0,ARS,29.0,5.0,11.0,23.0,22.0,11.0,11.0,15.0,15.0,80.3,2.4,0.7,2018,69.8,1.8,0.7
1016,2018-11-25,Away,W,2.0,1.0,BOU,1.6,0.6,58.0,ARS,42.0,5.0,12.0,24.0,23.0,6.0,12.0,20.0,20.0,80.9,2.4,0.7,2018,67.4,2.0,1.0
1037,2018-12-02,Home,W,4.0,2.0,TOT,2.7,1.2,59.0,ARS,41.0,5.0,13.0,27.0,24.0,3.0,13.0,30.0,27.0,82.6,2.5,0.7,2018,84.0,2.5,0.6
1054,2018-12-05,Away,D,2.0,2.0,MUN,1.1,1.1,55.0,ARS,45.0,4.0,14.0,30.0,27.0,7.0,14.0,22.0,21.0,82.6,2.5,0.7,2018,78.8,2.2,0.7
1060,2018-12-08,Home,W,1.0,0.0,HUD,1.4,0.3,62.0,ARS,38.0,5.0,15.0,31.0,30.0,17.0,15.0,10.0,10.0,82.6,2.5,0.7,2018,61.3,1.5,0.8
1094,2018-12-16,Away,L,2.0,3.0,SOU,1.9,1.3,66.0,ARS,34.0,5.0,16.0,34.0,31.0,19.0,16.0,9.0,9.0,81.1,2.4,0.7,2018,66.4,1.8,0.9
1111,2018-12-22,Home,W,3.0,1.0,BUR,1.6,1.2,60.0,ARS,40.0,5.0,17.0,34.0,34.0,18.0,17.0,12.0,12.0,79.9,2.3,0.7,2018,56.2,1.6,1.1
1124,2018-12-26,Away,D,1.0,1.0,BHA,0.8,1.1,67.0,ARS,33.0,5.0,18.0,37.0,34.0,13.0,18.0,21.0,21.0,79.9,2.3,0.7,2018,62.3,1.6,0.9
1143,2018-12-29,Away,L,1.0,5.0,LIV,1.0,3.8,52.0,ARS,48.0,5.0,19.0,38.0,37.0,1.0,19.0,51.0,48.0,79.9,2.3,0.7,2018,92.4,2.8,0.3
1163,2019-01-01,Home,W,4.0,1.0,FUL,4.5,1.4,60.0,ARS,40.0,5.0,20.0,38.0,38.0,19.0,20.0,14.0,11.0,79.4,2.4,0.7,2018,58.5,1.7,1.1
1187,2019-01-12,Away,L,0.0,1.0,WHU,0.7,0.6,58.0,ARS,42.0,5.0,21.0,41.0,38.0,10.0,21.0,28.0,27.0,79.0,2.3,0.7,2018,66.9,1.9,0.9
1203,2019-01-19,Home,W,2.0,0.0,CHE,1.5,0.9,36.0,ARS,64.0,5.0,22.0,41.0,41.0,4.0,22.0,47.0,44.0,79.8,2.4,0.7,2018,84.9,2.3,0.4
1228,2019-01-29,Home,W,2.0,1.0,CAR,2.6,0.8,70.0,ARS,30.0,5.0,23.0,44.0,41.0,18.0,23.0,19.0,19.0,79.4,2.4,0.7,2018,57.0,1.5,1.1
1254,2019-02-03,Away,L,1.0,3.0,MCI,0.7,2.7,41.0,ARS,59.0,4.0,24.0,47.0,44.0,2.0,24.0,56.0,56.0,78.9,2.3,0.7,2018,93.4,3.0,0.3
1271,2019-02-09,Away,W,2.0,1.0,HUD,1.4,1.6,45.0,ARS,55.0,6.0,25.0,47.0,47.0,20.0,25.0,11.0,11.0,78.9,2.3,0.7,2018,56.4,1.4,0.9
1295,2019-02-24,Home,W,2.0,0.0,SOU,2.1,0.8,62.0,ARS,38.0,5.0,26.0,50.0,47.0,18.0,26.0,24.0,24.0,80.4,2.4,0.7,2018,65.3,1.8,0.9
1316,2019-02-27,Home,W,5.0,1.0,BOU,2.5,0.9,64.0,ARS,36.0,4.0,27.0,53.0,50.0,10.0,27.0,34.0,33.0,80.4,2.4,0.7,2018,65.3,2.0,1.1
1323,2019-03-02,Away,D,1.0,1.0,TOT,2.6,1.6,40.0,ARS,60.0,4.0,28.0,56.0,53.0,3.0,28.0,60.0,60.0,80.4,2.4,0.7,2018,84.4,2.4,0.5
1354,2019-03-10,Home,W,2.0,0.0,MUN,1.7,2.3,46.0,ARS,54.0,5.0,29.0,57.0,56.0,4.0,29.0,58.0,55.0,80.6,2.4,0.7,2018,80.7,2.4,0.7
1386,2019-04-01,Home,W,2.0,0.0,NEW,0.8,0.1,70.0,ARS,30.0,4.0,30.0,60.0,57.0,13.0,31.0,35.0,34.0,81.9,2.4,0.6,2018,66.5,1.7,0.8
1406,2019-04-07,Away,L,0.0,1.0,EVE,0.3,2.4,57.0,ARS,43.0,4.0,31.0,63.0,60.0,10.0,32.0,43.0,40.0,80.6,2.3,0.7,2018,74.4,1.9,0.7
1428,2019-04-15,Away,W,1.0,0.0,WAT,2.3,1.0,65.0,ARS,35.0,5.0,32.0,63.0,63.0,10.0,32.0,46.0,46.0,82.3,2.4,0.6,2018,68.7,2.0,0.9
1448,2019-04-21,Home,L,2.0,3.0,CRY,1.2,1.6,72.0,ARS,28.0,4.0,33.0,66.0,63.0,13.0,34.0,39.0,39.0,80.2,2.3,0.7,2018,71.8,2.0,0.8
1458,2019-04-24,Away,L,1.0,3.0,WOL,0.8,1.2,70.0,ARS,30.0,5.0,35.0,66.0,66.0,7.0,35.0,51.0,47.0,80.2,2.3,0.7,2018,70.5,1.8,0.7
1479,2019-04-28,Away,L,0.0,3.0,LEI,0.6,3.3,34.0,ARS,66.0,5.0,35.0,66.0,66.0,10.0,35.0,48.0,47.0,78.1,2.3,0.7,2018,74.4,2.0,0.7
1492,2019-05-05,Home,D,1.0,1.0,BHA,2.4,1.9,70.0,ARS,30.0,5.0,36.0,66.0,66.0,17.0,36.0,35.0,34.0,77.5,2.3,0.8,2018,58.2,1.5,1.0
1515,2019-05-12,Away,W,3.0,1.0,BUR,2.7,1.7,60.0,ARS,40.0,5.0,37.0,67.0,66.0,15.0,37.0,40.0,40.0,78.0,2.4,0.8,2018,65.5,1.8,0.9
1536,2019-08-11,Away,W,1.0,0.0,NEW,1.1,0.4,62.0,ARS,38.0,,,,,,,,,76.4,2.1,0.7,2019,62.9,1.7,0.9
1544,2019-08-17,Home,W,2.0,1.0,BUR,0.8,1.5,67.0,ARS,33.0,7.0,1.0,3.0,,5.0,1.0,3.0,,76.4,2.1,0.7,2019,71.1,1.8,0.7
1573,2019-08-24,Away,L,1.0,3.0,LIV,1.0,2.5,48.0,ARS,52.0,2.0,2.0,6.0,3.0,1.0,2.0,6.0,3.0,79.4,2.3,0.7,2019,92.1,2.9,0.3
1596,2019-09-01,Home,D,2.0,2.0,TOT,2.4,2.0,55.0,ARS,45.0,3.0,3.0,6.0,6.0,7.0,3.0,4.0,4.0,79.9,2.4,0.7,2019,83.7,2.4,0.5
1616,2019-09-15,Away,D,2.0,2.0,WAT,0.8,2.7,48.0,ARS,52.0,5.0,4.0,7.0,6.0,20.0,4.0,1.0,0.0,78.3,2.4,0.8,2019,68.3,2.0,1.0
1634,2019-09-22,Home,W,3.0,2.0,AVL,2.4,1.5,58.0,ARS,42.0,7.0,5.0,8.0,7.0,17.0,5.0,4.0,3.0,78.6,2.4,0.8,2019,64.6,1.7,0.9
1659,2019-09-30,Away,D,1.0,1.0,MUN,1.9,0.9,45.0,ARS,55.0,4.0,6.0,11.0,8.0,8.0,6.0,8.0,8.0,79.3,2.4,0.8,2019,81.8,2.2,0.5
1672,2019-10-06,Home,W,1.0,0.0,BOU,1.2,0.6,53.0,ARS,47.0,4.0,7.0,12.0,11.0,8.0,7.0,11.0,10.0,80.2,2.4,0.7,2019,69.1,2.1,1.0
1698,2019-10-21,Away,L,0.0,1.0,SHU,1.0,0.9,67.0,ARS,33.0,3.0,8.0,15.0,12.0,13.0,8.0,9.0,8.0,80.2,2.4,0.7,2019,66.3,1.6,0.8
1715,2019-10-27,Home,D,2.0,2.0,CRY,1.3,1.6,56.0,ARS,44.0,5.0,9.0,15.0,15.0,6.0,9.0,14.0,14.0,78.8,2.4,0.8,2019,71.3,1.9,0.8
1721,2019-11-02,Home,D,1.0,1.0,WOL,0.9,1.8,57.0,ARS,43.0,5.0,10.0,16.0,15.0,12.0,10.0,12.0,11.0,77.5,2.3,0.8,2019,73.9,1.9,0.6
1742,2019-11-09,Away,L,0.0,2.0,LEI,1.0,1.2,49.0,ARS,51.0,5.0,11.0,17.0,16.0,3.0,11.0,23.0,20.0,77.2,2.3,0.8,2019,82.7,2.2,0.5
1767,2019-11-23,Home,D,2.0,2.0,SOU,1.8,2.4,61.0,ARS,39.0,6.0,12.0,17.0,17.0,19.0,12.0,8.0,8.0,75.7,2.3,0.9,2019,65.3,1.9,1.0
1795,2019-12-01,Away,D,2.0,2.0,NOR,1.9,0.8,60.0,ARS,40.0,8.0,13.0,18.0,17.0,18.0,13.0,10.0,7.0,75.7,2.3,0.9,2019,58.7,1.7,1.2
1817,2019-12-05,Home,L,1.0,2.0,BHA,0.9,1.7,50.0,ARS,50.0,8.0,14.0,19.0,18.0,16.0,14.0,15.0,15.0,75.7,2.3,0.9,2019,68.1,1.8,0.9
1838,2019-12-09,Away,W,3.0,1.0,WHU,1.4,0.6,64.0,ARS,36.0,10.0,15.0,19.0,19.0,15.0,15.0,16.0,16.0,75.5,2.3,0.8,2019,64.9,1.9,1.0
